# wavelength Total_Reflection Total_Transmission Absorption 
0.3 0.4507696148 0 0.5492303852 
0.35 0.4948784233 0 0.5051215767 
0.4 0.5287185342 2.278722275e-024 0.4712814658 
0.45 0.533708925 1.89592471e-015 0.466291075 
0.5 0.5004504293 1.155227121e-011 0.4995495707 
0.55 0.4751610934 1.829302115e-009 0.5248389048 
0.6 0.4703504841 2.297126044e-008 0.5296494929 
0.65 0.4772778784 6.103521593e-008 0.5227220605 
0.7 0.5152556854 1.356799945e-007 0.4847441789 
0.75 0.578042672 1.51373387e-007 0.4219571766 
0.8 0.6432292493 1.272588197e-007 0.3567706234 
0.85 0.7052682897 9.002046543e-008 0.2947316203 
0.9 0.7494165259 6.12262184e-008 0.2505834128 
0.95 0.7266760357 7.339938736e-008 0.2733238909 
1 0.8025270626 1.598843581e-008 0.1974729214 
1.05 0.8172506951 2.07014584e-008 0.1827492842 
1.1 0.8261933103 2.168002073e-008 0.173806668 
1.15 0.8383942917 1.985285865e-008 0.1616056884 
1.2 0.8575173561 1.462979782e-008 0.1424826293 
1.25 0.8793731797 7.528667031e-009 0.1206268127 
1.3 0.7920459639 1.299370318e-008 0.2079540231 
1.35 0.8274260946 1.989295644e-008 0.1725738855 
1.4 0.8816979025 9.675643477e-009 0.1183020879 
1.45 0.9009872084 5.640270062e-009 0.099012786 
1.5 0.9105654153 3.745829008e-009 0.08943458097 
1.55 0.9163379163 2.752516576e-009 0.08366208097 
1.6 0.9200763733 2.158910812e-009 0.07992362456 
1.65 0.9225268429 1.735026993e-009 0.07747315541 
1.7 0.9240175375 1.486757922e-009 0.07598246101 
1.75 0.9246939465 1.313574867e-009 0.07530605219 
1.8 0.9245806655 1.188805557e-009 0.07541933327 
1.85 0.9232293777 1.094965143e-009 0.07677062119 
1.9 0.701382421 5.168378367e-009 0.2986175739 
1.95 0.9292852972 4.064217435e-010 0.07071470242 
2 0.9262129911 5.206494767e-010 0.07378700836 
2.05 0.9229981098 5.80540109e-010 0.07700188959 
2.1 0.9200432533 6.315710732e-010 0.07995674603 
2.15 0.9181112852 6.795956194e-010 0.08188871413 
2.2 0.9178213915 6.685777193e-010 0.08217860785 
2.25 0.9190717004 7.200716517e-010 0.08092829886 
2.3 0.9211151153 7.699507178e-010 0.07888488395 
2.35 0.9232219327 8.19655073e-010 0.07677806646 
2.4 0.9249383491 8.727123607e-010 0.07506165007 
2.45 0.9261338711 9.320199473e-010 0.07386612799 
2.5 0.9268015698 9.999745962e-010 0.07319842924 
2.55 0.9270024262 1.076961603e-009 0.07299757269 
2.6 0.9268020689 1.130020258e-009 0.07319792992 
2.65 0.9262419231 1.037530014e-009 0.07375807584 
2.7 0.9253265224 1.119304725e-009 0.07467347644 
2.75 0.9241549522 1.211473616e-009 0.07584504662 
